caller	site	target	edge_kind	confidence	evidence
80012d60	80012f44	80085d38	direct_ghidra	confirmed_static	calls.tsv
80012f70	80012f7c	80015400	direct_ghidra	confirmed_static	calls.tsv
80012f70	80012f84	80041674	direct_ghidra	confirmed_static	calls.tsv
80012f70	80013034	80014978	direct_ghidra	confirmed_static	calls.tsv
80012f70	8001303c	800135f0	direct_ghidra	confirmed_static	calls.tsv
80013058	80013078	8007f8e8	direct_ghidra	confirmed_static	calls.tsv
80013058	80013090	80084d58	direct_ghidra	confirmed_static	calls.tsv
80013058	800130a4	80085628	direct_ghidra	confirmed_static	calls.tsv
80013058	80013188	80085d38	direct_ghidra	confirmed_static	calls.tsv
80013058	80013218	80086d50	direct_ghidra	confirmed_static	calls.tsv
80013058	80013220	800856c8	direct_ghidra	confirmed_static	calls.tsv
80013058	8001322c	80085538	direct_ghidra	confirmed_static	calls.tsv
80013058	80013234	80087858	direct_ghidra	confirmed_static	calls.tsv
80013058	8001323c	8008b738	direct_ghidra	confirmed_static	calls.tsv
80013058	80013244	8003cde4	direct_ghidra	confirmed_static	calls.tsv
80013058	8001324c	80013600	direct_ghidra	confirmed_static	calls.tsv
80013058	80013254	8008f738	direct_ghidra	confirmed_static	calls.tsv
800133fc	80013430	8008acd8	direct_ghidra	confirmed_static	calls.tsv
80013448	80013470	800866f8	direct_ghidra	confirmed_static	calls.tsv
80013448	80013490	80086628	direct_ghidra	confirmed_static	calls.tsv
80013448	800134b0	80086628	direct_ghidra	confirmed_static	calls.tsv
80013448	800134d0	800866f8	direct_ghidra	confirmed_static	calls.tsv
80013448	800134f4	800133fc	direct_ghidra	confirmed_static	calls.tsv
80013518	80013540	800866f8	direct_ghidra	confirmed_static	calls.tsv
80013518	80013560	80086628	direct_ghidra	confirmed_static	calls.tsv
80013518	80013584	80086628	direct_ghidra	confirmed_static	calls.tsv
80013518	800135a8	800866f8	direct_ghidra	confirmed_static	calls.tsv
80013518	800135cc	800133fc	direct_ghidra	confirmed_static	calls.tsv
80013600	8001361c	800137b4	direct_ghidra	confirmed_static	calls.tsv
80013600	800136b0	80013810	direct_ghidra	confirmed_static	calls.tsv
80013600	800136d0	8008fa78	direct_ghidra	confirmed_static	calls.tsv
80013700	80013750	80014f54	direct_ghidra	confirmed_static	calls.tsv
80013700	80013758	80012c50	direct_ghidra	confirmed_static	calls.tsv
80013700	80013788	80012c50	direct_ghidra	confirmed_static	calls.tsv
800137b4	800137f0	8007b53c	direct_ghidra	confirmed_static	calls.tsv
80013810	8001382c	8007d988	direct_ghidra	confirmed_static	calls.tsv
80013810	8001383c	8007eca8	direct_ghidra	confirmed_static	calls.tsv
800138b4	800138f0	8001385c	direct_ghidra	confirmed_static	calls.tsv
800139b0	800139e0	8001385c	direct_ghidra	confirmed_static	calls.tsv
80013a84	80013aec	80014f2c	direct_ghidra	confirmed_static	calls.tsv
80013b44	80013be8	8007e968	direct_ghidra	confirmed_static	calls.tsv
80013b44	80013c60	8007e36c	direct_ghidra	confirmed_static	calls.tsv
80013b44	80013c68	8007edf8	direct_ghidra	confirmed_static	calls.tsv
80013b44	80013d14	8007e968	direct_ghidra	confirmed_static	calls.tsv
80013b44	80013d78	8007e36c	direct_ghidra	confirmed_static	calls.tsv
80013b44	80013d80	8007edf8	direct_ghidra	confirmed_static	calls.tsv
80013b44	80013da4	80082380	direct_ghidra	confirmed_static	calls.tsv
80013b44	80013e7c	8007e968	direct_ghidra	confirmed_static	calls.tsv
80013b44	80013ef0	8007e36c	direct_ghidra	confirmed_static	calls.tsv
80013b44	80013ef8	8007edf8	direct_ghidra	confirmed_static	calls.tsv
80013b44	80013f0c	80077748	direct_ghidra	confirmed_static	calls.tsv
80013b44	80013f18	800776e8	direct_ghidra	confirmed_static	calls.tsv
80013fbc	80013ff4	8007ba00	direct_ghidra	confirmed_static	calls.tsv
80013fbc	80014010	8007e3d0	direct_ghidra	confirmed_static	calls.tsv
80013fbc	80014020	8007e2e8	direct_ghidra	confirmed_static	calls.tsv
80014050	80014088	8007ba00	direct_ghidra	confirmed_static	calls.tsv
800140c4	800140f8	8007b78c	direct_ghidra	confirmed_static	calls.tsv
8001413c	80014170	8007b78c	direct_ghidra	confirmed_static	calls.tsv
800141b0	800141e4	8007b78c	direct_ghidra	confirmed_static	calls.tsv
80014224	8001425c	8007ba00	direct_ghidra	confirmed_static	calls.tsv
800142ac	800142c0	8007eca8	direct_ghidra	confirmed_static	calls.tsv
800143d4	8001440c	800142f8	direct_ghidra	confirmed_static	calls.tsv
800143d4	8001444c	80014f2c	direct_ghidra	confirmed_static	calls.tsv
80014478	800144b8	8007b78c	direct_ghidra	confirmed_static	calls.tsv
80014478	800145dc	8007b78c	direct_ghidra	confirmed_static	calls.tsv
80014478	8001462c	800143d4	direct_ghidra	confirmed_static	calls.tsv
80014478	80014670	8007b78c	direct_ghidra	confirmed_static	calls.tsv
80014478	80014694	8007eb98	direct_ghidra	confirmed_static	calls.tsv
