global	function	access
DAT_1F800334	8006ab9c	write
DAT_1F800338	800408bc	read_write
DAT_1F800338	80040c04	read_write
DAT_1F800338	800418c0	read_write
DAT_1F80033A	800408bc	read_write
DAT_1F80033A	80040c04	read_write
DAT_1F80033A	800418c0	read_write
DAT_1F80033C	800408bc	write
DAT_1F80033C	80040c04	write
DAT_1F80033C	800418c0	write
DAT_1F80033E	800418c0	write
DAT_1F800340	800408bc	write
DAT_1F800340	80040c04	write
DAT_1F800340	800418c0	write
DAT_1F800347	800166a0	write
DAT_1F800347	80028c0c	write
DAT_1F800347	800408bc	write
DAT_1F800347	80040c04	write
DAT_1F800347	8004110c	write
DAT_1F800347	8004139c	write
DAT_1F800347	800418c0	write
DAT_1F800348	800166a0	write
DAT_1F800348	80028c0c	read_write
DAT_1F800348	800408bc	write
DAT_1F800348	80040c04	write
DAT_1F800348	8004110c	read_write
DAT_1F800348	8004139c	read_write
DAT_1F800348	800418c0	write
DAT_1F80034B	80028c0c	read
DAT_1F80034C	8004110c	read_write
DAT_1F80034C	8004139c	read_write
DAT_1F80034E	8004110c	read_write
DAT_1F80034E	8004139c	read_write
DAT_1F800350	8004110c	write
DAT_1F800350	8004139c	write
DAT_1F800354	8004110c	read_write
DAT_1F800354	8004139c	write
DAT_1F800356	8004110c	read_write
DAT_1F800358	8004110c	write
DAT_1F800358	8004139c	read_write
DAT_1F80035A	8004139c	read_write
DAT_1F80035C	8004110c	read_write
DAT_1F80035C	8004139c	write
DAT_1F80035E	8004110c	read_write
DAT_1F800360	8004110c	write
DAT_1F800360	8004139c	write
DAT_1F800364	8004110c	read_write
DAT_1F800364	8004139c	read_write
DAT_1F800366	8004110c	read_write
DAT_1F800366	8004139c	read_write
DAT_1F800368	8004139c	write
DAT_1F80036C	8004139c	write
DAT_1F800370	8004139c	read_write
DAT_1F800372	8004139c	read_write
DAT_1F800374	8004139c	write
DAT_1F80037C	80040c04	write
DAT_1F80037C	800418c0	read_write
DAT_1F800380	80015e10	read_write
DAT_1F800380	80034d30	read
DAT_1F800380	800418c0	read_write
DAT_1F800382	80015e10	write
DAT_1F800382	800418c0	read_write
DAT_1F800383	80034d30	write
DAT_1F800384	80015e10	write
DAT_1F800384	80034d30	read_write
DAT_1F800384	800418c0	read_write
DAT_1F800386	800418c0	read_write
DAT_1F800388	80034d30	read_write
DAT_1F800388	800418c0	read_write
DAT_1F80038A	800418c0	read_write
DAT_1F80038C	80034d30	write
DAT_1F80038C	800418c0	read_write
DAT_1F80038E	800418c0	read_write
DAT_1F800390	80034d30	write
DAT_1F800390	800418c0	read_write
DAT_1F800392	800418c0	write
DAT_1F800394	80034d30	read_write
DAT_1F800394	800418c0	write
DAT_1F800398	80028c0c	read
DAT_1F800398	8002ab50	read
DAT_1F800398	80034d30	write
DAT_1F800398	800408bc	read
DAT_1F800398	80040c04	read
DAT_1F800398	8004110c	read
DAT_1F800398	8004139c	read
DAT_1F800398	800418c0	read
DAT_1F80039A	8002ab50	read
DAT_1F80039C	80028c0c	write
DAT_1F80039C	80034d30	read_write
DAT_1F8003A0	80015e10	read_write
DAT_1F8003A0	80034d30	read_write
DAT_1F8003A0	800418c0	read_write
DAT_1F8003A4	80015e10	read_write
DAT_1F8003A4	80034d30	read_write
DAT_1F8003A8	80015e10	read
DAT_1F8003A8	80034d30	write
DAT_1F8003A8	800418c0	read_write
DAT_1F8003AC	80015e10	read
DAT_1F8003AC	80034d30	write
DAT_1F8003AC	800418c0	read_write
DAT_1F8003B0	80015e10	read
DAT_1F8003B0	80034d30	read_write
DAT_1F8003B0	800418c0	read_write
DAT_1F8003B4	80015e10	read
DAT_1F8003B4	800418c0	read_write
DAT_1F8003B8	80015e10	read
DAT_1F8003BC	80015e10	read
DAT_1F8003C0	80015400	read_write
DAT_1F8003C0	80015e10	read_write
DAT_1F8003C0	80034d30	read_write
DAT_1F8003C4	80015400	read_write
DAT_1F8003C4	80015e10	read_write
DAT_1F8003C6	80015400	read
DAT_1F8003C8	80015400	write
DAT_1F8003C8	80015e10	read_write
DAT_1F8003CC	80015400	read_write
DAT_1F8003CC	80015e10	read_write
DAT_1F8003CD	80015400	write
DAT_1F8003CE	80015400	write
DAT_1F8003D0	80015e10	read_write
DAT_1F8003D0	80034d30	read_write
DAT_1F8003D4	80015e10	read_write
DAT_1F8003D8	80015e10	read_write
DAT_1F8003DC	80015e10	read_write
DAT_1F8003E0	80015c34	read_write
DAT_1F8003E0	80015d18	read_write
DAT_1F8003E0	80015e10	read_write
DAT_1F8003E0	800166a0	read
DAT_1F8003E0	80017860	write
DAT_1F8003E0	8001b05c	read_write
DAT_1F8003E0	80034d30	read_write
DAT_1F8003E4	80015c34	read_write
DAT_1F8003E4	80015d18	read_write
DAT_1F8003E4	80015e10	read
DAT_1F8003E4	80017860	read_write
DAT_1F8003E4	8001b05c	read_write
DAT_1F8003E4	80034d30	read_write
DAT_1F8003E8	80015e10	read
DAT_1F8003E8	800166a0	read_write
DAT_1F8003E8	80034d30	read_write
DAT_1F8003EA	800166a0	read_write
DAT_1F8003EC	80015e10	read
DAT_1F8003EC	80034d30	read_write
DAT_1F8003F0	80015e10	read_write
DAT_1F8003F0	80034d30	read_write
DAT_1F8003F4	80015e10	read_write
DAT_1F8003F4	80034d30	read_write
DAT_1F8003F8	80015e10	read_write
DAT_1F8003F8	80034d30	read_write
DAT_1F8003FC	80015e10	read_write
DAT_1F8003FC	80034d30	read_write
DAT_1F801040	8008f368	read_write
DAT_1F80104A	8008f368	read_write
DAT_1F801070	8008f368	read_write
DAT_1F801080	80079580	read
DAT_1F801084	80079580	read
DAT_1F801088	80079580	read
DAT_1F801120	8008ed40	read
DAT_1F801120	8008ed74	read
DAT_1F801120	8008ee44	read
DAT_1F801124	8008ed40	read
DAT_1F801124	8008ed74	read
DAT_1F801124	8008ee44	read
DAT_1F801128	8008ed74	read
DAT_1F801128	8008ee44	read
DAT_80010260	800304d0	read
DAT_80010264	800304d0	read
DAT_80010268	800304d0	read
DAT_8001026C	800304d0	read
DAT_80010270	800304d0	read
DAT_80010274	800304d0	read
DAT_80010278	800304d0	read
DAT_8001027C	800304d0	read
DAT_80010280	800304d0	read
DAT_80010284	800304d0	read
DAT_80010288	800304d0	read
DAT_8001028C	800304d0	read
DAT_80010290	800304d0	read
DAT_80010294	800304d0	read
DAT_80010710	80046c24	read
DAT_80010714	80046c24	read
DAT_80010718	80046c24	read
DAT_80010719	80046c24	read
DAT_8001071A	80046c24	read
DAT_80010760	8004a444	read
DAT_80011360	80049db0	read
DAT_80011360	8004a188	read
DAT_80011360	8004a268	read
DAT_80011360	8004a70c	read
DAT_80011360	8004a8cc	read
DAT_80011360	8004a9a8	read
DAT_80011360	8004ab88	read
DAT_80011360	8004abf4	read
DAT_80011360	8004ac50	read
DAT_80011360	8004af8c	read
DAT_80011360	8004b278	read
DAT_80011360	8004b804	read
DAT_800113B0	8004c8b0	read
DAT_800113F0	80050f78	read
DAT_800113F4	80050f78	read
