address	name	body_bytes	status	origin	region
80035da0	FUN_80035da0	92	ok	resident_export	resident
80035dfc	FUN_80035dfc	80	ok	resident_export	resident
80035e4c	FUN_80035e4c	100	ok	resident_export	resident
80035eb0	FUN_80035eb0	168	ok	resident_export	resident
80035f58	FUN_80035f58	12	ok	resident_export	resident
80035f64	FUN_80035f64	76	ok	resident_export	resident
80035fb0	FUN_80035fb0	56	ok	resident_export	resident
80035fe8	FUN_80035fe8	240	ok	resident_export	resident
800360d8	FUN_800360d8	112	ok	resident_export	resident
80036148	FUN_80036148	60	ok	resident_export	resident
80036184	FUN_80036184	84	ok	resident_export	resident
800361d8	FUN_800361d8	96	ok	resident_export	resident
80036238	FUN_80036238	60	ok	resident_export	resident
80036274	FUN_80036274	36	ok	resident_export	resident
80036298	FUN_80036298	2508	ok	resident_export	resident
80036c64	FUN_80036c64	408	ok	resident_export	resident
80036dfc	FUN_80036dfc	52	ok	resident_export	resident
80036e30	FUN_80036e30	76	ok	resident_export	resident
80036e7c	FUN_80036e7c	116	ok	resident_export	resident
80036ef0	FUN_80036ef0	140	ok	resident_export	resident
80036f7c	FUN_80036f7c	280	ok	resident_export	resident
8003712c	FUN_8003712c	436	ok	resident_export	resident
800372e0	FUN_800372e0	116	ok	resident_export	resident
80037354	FUN_80037354	92	ok	resident_export	resident
800373b0	FUN_800373b0	144	ok	resident_export	resident
80037440	FUN_80037440	76	ok	resident_export	resident
8003748c	FUN_8003748c	176	ok	resident_export	resident
8003753c	FUN_8003753c	216	ok	resident_export	resident
80037614	FUN_80037614	160	ok	resident_export	resident
800376b4	FUN_800376b4	144	ok	resident_export	resident
80037814	FUN_80037814	92	ok	resident_export	resident
8003795c	FUN_8003795c	52	ok	resident_export	resident
80037990	FUN_80037990	96	ok	resident_export	resident
800379f0	FUN_800379f0	232	ok	resident_export	resident
80037c0c	FUN_80037c0c	108	ok	resident_export	resident
80037d3c	FUN_80037d3c	600	ok	resident_export	resident
80037f94	FUN_80037f94	76	ok	resident_export	resident
80038004	FUN_80038004	64	ok	resident_export	resident
800380b8	FUN_800380b8	352	ok	resident_export	resident
80038340	FUN_80038340	40	ok	resident_export	resident
80038368	FUN_80038368	40	ok	resident_export	resident
80038504	FUN_80038504	352	ok	resident_export	resident
80038664	FUN_80038664	40	ok	resident_export	resident
8003868c	FUN_8003868c	224	ok	resident_export	resident
8003876c	FUN_8003876c	104	ok	resident_export	resident
800387d4	FUN_800387d4	136	ok	resident_export	resident
800388ac	FUN_800388ac	236	ok	resident_export	resident
800389ac	FUN_800389ac	108	ok	resident_export	resident
80038a18	FUN_80038a18	108	ok	resident_export	resident
80038a84	FUN_80038a84	88	ok	resident_export	resident
80038adc	FUN_80038adc	64	ok	resident_export	resident
80038b4c	FUN_80038b4c	92	ok	resident_export	resident
80038ba8	FUN_80038ba8	72	ok	resident_export	resident
80038bf0	FUN_80038bf0	280	ok	resident_export	resident
80038d20	FUN_80038d20	140	ok	resident_export	resident
80038dac	FUN_80038dac	100	ok	resident_export	resident
80038e10	FUN_80038e10	116	ok	resident_export	resident
80038eb8	FUN_80038eb8	656	ok	resident_export	resident
80039148	FUN_80039148	164	ok	resident_export	resident
800391ec	FUN_800391ec	460	ok	resident_export	resident
800393b8	FUN_800393b8	952	ok	resident_export	resident
80039770	FUN_80039770	416	ok	resident_export	resident
80039910	FUN_80039910	224	ok	resident_export	resident
800399f0	FUN_800399f0	76	ok	resident_export	resident
80039a3c	FUN_80039a3c	76	ok	resident_export	resident
80039a88	FUN_80039a88	40	ok	resident_export	resident
80039ab0	FUN_80039ab0	20	ok	resident_export	resident
80039ac4	FUN_80039ac4	228	ok	resident_export	resident
80039ba8	FUN_80039ba8	196	ok	resident_export	resident
